"n \ m",12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
6,-49,-49,-49,-49,-49,-49,-49,-49,-49,-49,-49,-119,-126,-126,-126,-126,-126,-126,-126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,-31,-31,-31,-31,-31,-31,-113,-141,-141,-141,-141,-141,-141,-141,-141,-141,-184,-184,-184,-184,-184,-184,-184,-192,-192,-192,-192,-192,-192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,-76,-76,-76,-97,-97,-97,-97,-97,-97,-97,-134,-134,-134,-134,-134,-134,-145,-148,-148,-148,-148,-148,-148,-148,-148,-148,-148,-148,-148,-148,-173,-173,-173,-173,-173,-173,-173,-173,-173,-173,-216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,40,40,40,40,40,40,27,17,-40,-40,-40,-134,-134,-134,-134,-134,-134,-134,-134,-134,-134,-134,-134,-134,-134,-145,-145,-145,-145,-145,-145,-145,-145,-145,-145,-145,-145,-145,-145,-145,-145,-162,-178,-178,-178,-178,-178,-178,-178,-178,-178,-195,-195,-195,-195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,-19,-19,-19,-72,-72,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-111,-157,-157,-157,-157,-157,-157,-157,-237,-237,-237,-237,-237,-237,-237,-237,-237,-237,-237,-237,-237,-237,-237,-237,-237,-287,-287,-287,-287,-294,-294,-294,-294,-294,-294,-294,-294,-294,-294,-294,-294,-294,-294,-294,-294,-294,-294,-294,-294,-294,-294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,-74,-100,-100,-151,-151,-151,-151,-151,-151,-151,-151,-151,-151,-151,-335,-335,-335,-335,-335,-335,-335,-335,-335,-335,-335,-335,-335,-335,-335,-335,-335,-335,-335,-335,-335,-335,-335,-335,-335,-335,-335,-335,-335,-335,-335,-335,-335,-335,-335,-335,-335,-335,-335,-335,-335,-335,-335,-335,-335,-335,-335,-335,-335,-335,-335,-335,-335,-335,-335,-367,-367,-367,-367,-367,-367,-367,-367,-367,-367,-367,-367,-367,-367,-367,-367,-367,-367,-367,-367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,-207,-207,-207,-207,-207,-207,-207,-207,-207,-207,-207,-207,-207,-207,-207,-297,-297,-297,-297,-297,-297,-297,-297,-297,-297,-297,-297,-297,-297,-297,-297,-297,-297,-297,-297,-297,-323,-323,-323,-323,-323,-323,-323,-323,-323,-323,-323,-323,-323,-323,-323,-323,-323,-323,-323,-323,-323,-323,-323,-323,-323,-323,-323,-323,-323,-323,-346,-346,-346,-346,-346,-346,-351,-351,-351,-351,-351,-351,-351,-351,-351,-351,-351,-351,-351,-351,-351,-351,-351,-351,-351,-375,-375,-375,-375,-375,-375,-375,-375,-375,-385,-385,-385,-385,-385,-385,-396,-396,-396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,-126,-126,-126,-126,-126,-126,-126,-126,-126,-166,-166,-166,-166,-166,-166,-166,-166,-166,-166,-166,-166,-166,-166,-166,-166,-166,-166,-166,-166,-166,-166,-166,-166,-166,-166,-166,-166,-166,-166,-166,-166,-166,-166,-166,-166,-166,-425,-460,-460,-460,-460,-460,-460,-460,-460,-460,-460,-460,-460,-460,-460,-460,-460,-460,-460,-460,-460,-460,-460,-460,-460,-460,-461,-461,-521,-521,-521,-521,-521,-521,-521,-521,-521,-521,-521,-521,-521,-521,-541,-541,-541,-541,-541,-541,-541,-541,-541,-541,-541,-541,-541,-541,-541,-541,-541,-541,-541,-541,-541,-541,-541,-557,-557,-557,-557,-557,-557,-557,-557,-557,-557,-557,-557,-557,-561,-561,-561,-561,-561,-561,-561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,52,14,14,14,14,14,-56,-70,-96,-96,-96,-205,-205,-205,-205,-205,-205,-253,-492,-492,-492,-492,-492,-492,-492,-492,-492,-492,-492,-492,-492,-492,-520,-520,-520,-520,-520,-520,-520,-520,-520,-520,-520,-520,-520,-525,-525,-525,-525,-525,-525,-525,-525,-525,-525,-525,-525,-525,-525,-525,-525,-525,-525,-582,-582,-582,-582,-582,-582,-582,-582,-582,-582,-582,-582,-582,-582,-582,-582,-582,-607,-607,-607,-607,-607,-607,-607,-607,-607,-607,-607,-607,-607,-607,-607,-607,-607,-607,-607,-607,-607,-607,-607,-607,-607,-607,-607,-607,-607,-607,-607,-607,-607,-607,-607,-607,-607,-607,-607,-607,-607,-607,-648,-648,-648,-648,-648,-648,-648,-648,-648,-648,-648,-648,-648,-648,-648,-648,-648,-648,-648,-648,-648,-648,-648,-648,-659,-659,-659,-659,-659,-659,-659,-659,-659,,,,,,,,,,,,,,,,,,,
