11 75
0 1 90
0 2 79
0 3 38
0 4 96
0 7 9
0 8 72
0 9 -28
1 2 -21
1 5 89
1 8 -5
1 9 24
1 10 67
2 0 -11
2 1 21
2 3 118
2 4 41
2 6 -14
2 7 55
2 9 67
2 10 10
3 1 58
3 2 -120
3 4 -20
3 5 41
3 7 -46
3 8 80
3 9 -64
3 10 -23
4 0 14
4 1 -47
4 2 -41
4 5 10
4 6 88
4 7 62
4 9 14
5 2 91
5 4 -10
5 6 10
5 7 43
5 8 20
5 9 -24
5 10 26
6 1 72
6 2 29
6 4 -88
6 5 24
6 7 15
6 8 -34
7 0 -33
7 1 74
7 3 -6
7 5 26
7 6 -10
7 9 -33
7 10 29
8 0 -15
8 1 20
8 2 73
8 3 -80
8 5 39
8 9 42
8 10 29
9 0 28
9 1 14
9 3 64
9 4 -14
9 5 58
9 7 33
9 10 61
10 0 58
10 2 -10
10 3 -2
10 4 21
10 6 40
10 8 -33
